🕘️更新时间,#genre#
CCTV-7,http://125.125.140.35:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-8,http://171.115.226.32:9901/tsfile/live/faacts/0008_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-8,http://125.107.3.221:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-8,http://125.107.125.14:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-8,http://125.125.140.35:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-9,http://171.115.226.32:9901/tsfile/live/faacts/0009_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-9,http://125.107.3.221:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-9,http://125.107.125.14:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-9,http://125.125.140.35:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-10,http://171.115.226.32:9901/tsfile/live/faacts/0010_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-10,http://125.107.3.221:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-10,http://125.107.125.14:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-10,http://125.125.140.35:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-11,http://171.115.226.32:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-11,http://125.107.3.221:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-11,http://125.107.125.14:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-11,http://125.125.140.35:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-12,http://171.115.226.32:9901/tsfile/live/faacts/0012_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-12,http://125.107.3.221:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-12,http://125.107.125.14:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-12,http://125.125.140.35:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-13,http://171.115.226.32:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-13,http://125.107.3.221:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-13,http://125.107.125.14:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-13,http://125.125.140.35:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-14,http://171.115.226.32:9901/tsfile/live/faacts/0014_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-14,http://125.107.3.221:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-14,http://125.107.125.14:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-14,http://125.125.140.35:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-15,http://171.115.226.32:9901/tsfile/live/faacts/0015_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV-15,http://125.107.3.221:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-15,http://125.107.125.14:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-15,http://125.125.140.35:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
CCTV-16,http://219.135.180.210:18888/hls/31/index.m3u8$订阅源-1920x1080
CCTV-16,https://api.olelive.com/dis/live/CCTV16HD/hls.m3u8$订阅源-1920x1080
CCTV-16,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV-16,http://58.17.48.228:808/hls/25/index.m3u8$订阅源-1920x1080
CCTV-17,http://111.172.12.162:1111/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://59.173.174.118:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://58.19.43.46:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://219.135.180.210:18888/hls/24/index.m3u8$订阅源-1920x1080
CETV4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源-1280x720

央视付费频道,#genre#
第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|-720x576

卫视频道,#genre#
广东卫视,http://171.115.226.32:9901/tsfile/live/faacts/0125_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
广东卫视,http://125.107.3.221:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
广东卫视,http://125.107.125.14:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
广东卫视,http://125.125.140.35:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
浙江卫视,http://171.115.226.32:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
浙江卫视,http://125.107.3.221:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
浙江卫视,http://125.107.125.14:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
浙江卫视,http://125.125.140.35:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
湖南卫视,http://171.115.226.32:9901/tsfile/live/faacts/0128_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
湖南卫视,http://125.107.3.221:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
湖南卫视,http://125.107.125.14:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
湖南卫视,http://125.125.140.35:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
北京卫视,http://125.107.3.221:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
北京卫视,http://125.107.125.14:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
北京卫视,http://125.125.140.35:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
北京卫视,http://122.237.93.108:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
湖北卫视,http://171.115.226.32:9901/tsfile/live/faacts/0132_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
湖北卫视,http://125.107.3.221:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
湖北卫视,http://125.107.125.14:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
湖北卫视,http://125.125.140.35:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
黑龙江卫视,http://125.107.3.221:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
黑龙江卫视,http://125.107.125.14:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
黑龙江卫视,http://125.125.140.35:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
黑龙江卫视,http://122.237.93.108:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
安徽卫视,http://171.115.226.32:9901/tsfile/live/faacts/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
安徽卫视,http://125.107.3.221:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
安徽卫视,http://125.107.125.14:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
安徽卫视,http://125.125.140.35:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
重庆卫视,http://171.115.226.32:9901/tsfile/live/faacts/0142_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
重庆卫视,http://125.107.3.221:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
重庆卫视,http://125.107.125.14:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
重庆卫视,http://125.125.140.35:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
东方卫视,http://125.115.231.228:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
东方卫视,http://58.19.38.162:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|
东方卫视,http://111.172.12.162:1111/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
东方卫视,http://113.57.109.129:9001/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
东南卫视,http://125.107.3.221:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
东南卫视,http://125.107.125.14:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
东南卫视,http://125.125.140.35:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
东南卫视,http://122.237.93.108:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
甘肃卫视,http://171.115.226.32:9901/tsfile/live/faacts/0141_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
甘肃卫视,http://125.115.231.228:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
甘肃卫视,http://115.214.228.253:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源
甘肃卫视,http://58.53.152.206:9901/tsfile/live/faacts/0141_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广西卫视,http://125.107.3.221:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
广西卫视,http://125.107.125.14:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
广西卫视,http://122.237.93.108:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
广西卫视,http://60.187.49.214:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
贵州卫视,http://125.107.3.221:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
贵州卫视,http://125.107.125.14:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
贵州卫视,http://122.237.93.108:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
贵州卫视,http://60.187.49.214:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
海南卫视,http://125.115.231.228:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
海南卫视,http://111.172.12.162:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
海南卫视,http://113.57.109.129:9001/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
海南卫视,http://115.214.228.253:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源
河北卫视,http://125.107.3.221:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
河北卫视,http://125.107.125.14:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
河北卫视,http://125.125.140.35:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
河北卫视,http://122.237.93.108:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
河南卫视,http://125.107.3.221:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
河南卫视,http://125.107.125.14:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
河南卫视,http://125.125.140.35:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
河南卫视,http://122.237.93.108:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
吉林卫视,http://125.107.3.221:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
吉林卫视,http://125.107.125.14:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
吉林卫视,http://122.237.93.108:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
吉林卫视,http://60.187.49.214:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
江苏卫视,http://171.115.226.32:9901/tsfile/live/faacts/0127_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
江苏卫视,http://125.107.3.221:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
江苏卫视,http://125.107.125.14:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
江苏卫视,http://125.125.140.35:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
江西卫视,http://125.107.3.221:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
江西卫视,http://125.107.125.14:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
江西卫视,http://125.125.140.35:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
江西卫视,http://122.237.93.108:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
辽宁卫视,http://125.107.3.221:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
辽宁卫视,http://125.107.125.14:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
辽宁卫视,http://125.125.140.35:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
辽宁卫视,http://122.237.93.108:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
内蒙古卫视,http://125.115.231.228:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
内蒙古卫视,http://115.214.228.253:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源
内蒙古卫视,http://220.249.114.102:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|
内蒙古卫视,http://139.196.151.191:2051/rtp/239.45.1.238:5140$上海电信组播源
宁夏卫视,http://125.115.231.228:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
宁夏卫视,http://58.19.43.46:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
宁夏卫视,http://115.214.228.253:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源
宁夏卫视,http://220.249.114.102:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
青海卫视,http://125.115.231.228:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
青海卫视,http://59.173.174.118:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
青海卫视,http://58.19.43.46:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
青海卫视,http://115.214.228.253:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源
山东卫视,http://171.115.226.32:9901/tsfile/live/faacts/0131_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
山东卫视,http://125.107.3.221:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
山东卫视,http://125.107.125.14:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
山东卫视,http://125.125.140.35:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
山西卫视,http://125.107.3.221:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
山西卫视,http://125.107.125.14:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
山西卫视,http://122.237.93.108:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
山西卫视,http://60.187.49.214:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
陕西卫视,http://125.115.231.228:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
陕西卫视,http://59.173.174.118:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
陕西卫视,http://58.19.43.46:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
陕西卫视,http://115.214.228.253:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源
四川卫视,http://125.107.3.221:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
四川卫视,http://125.107.125.14:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
四川卫视,http://125.125.140.35:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
四川卫视,http://122.237.93.108:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
深圳卫视,http://125.107.3.221:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
深圳卫视,http://125.107.125.14:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
深圳卫视,http://125.125.140.35:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
深圳卫视,http://122.237.93.108:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
三沙卫视,http://220.249.114.102:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|
三沙卫视,http://139.196.151.191:2051/rtp/239.45.1.82:5140$上海电信组播源
三沙卫视,http://139.196.214.238/rtp/239.45.1.82:5140$组播源
三沙卫视,http://36.105.100.208:35455/itv/5000000011000288016.m3u8?cdn=bestzb$订阅源-1920x1080
天津卫视,http://125.107.3.221:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
天津卫视,http://125.107.125.14:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
天津卫视,http://125.125.140.35:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
天津卫视,http://122.237.93.108:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
西藏卫视,http://125.115.231.228:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
西藏卫视,http://115.214.228.253:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源
西藏卫视,http://220.249.114.102:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|
西藏卫视,http://139.196.151.191:2051/rtp/239.45.1.231:5140$上海电信组播源
新疆卫视,http://220.249.114.102:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|
新疆卫视,http://139.196.151.191:2051/rtp/239.45.1.116:5140$上海电信组播源
新疆卫视,http://139.196.214.238/rtp/239.45.1.116:5140$组播源
新疆卫视,http://110.53.52.63:8888/newlive/live/hls/37/live.m3u8$订阅源-1920x1080
云南卫视,http://171.115.226.32:9901/tsfile/live/faacts/0119_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
云南卫视,http://125.125.140.35:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-1920x1080
云南卫视,http://125.115.231.228:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$浙江酒店源-720x576
云南卫视,http://59.173.174.118:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源

广东频道,#genre#
广东珠江,http://120.77.205.62:8087/rtp/239.77.0.1:5146$组播源
广东珠江,http://120.238.94.10:9901/tsfile/live/1009_1.m3u8$订阅源-1920x1080
